序号,所用时间,1.您的性别,2.您的年级,3.您的生源地,4.您的月生活费,5.您进行过绿色低碳的相关生活方式吗?,6.您觉得“低碳”，与你的生活关系密切吗？,7.低碳生活是否会成为未来的主流生活方式？,8.您是否认为低碳生活会提高您的生活质量？,9.进行低碳生活对我来说很方便,10.我有多余的时间和精力进行低碳生活,11.学校/社区提供了足够的低碳设施,12.我认为个人行动能为低碳做贡献,13.我有机会执行低碳生活,我有足够知识进行低碳生活,14.我打算以后…—减少使用一次性产品,合理处理生活中的废弃物,在日常生活中会进行垃圾分类,尽可能劝说周围的人进行低碳生活,15.日常生活中，我会......—对垃圾进行分类,重复利用废旧物品,避免使用一次性产品,劝说周围的人进行低碳生活
266,165秒,2,3,2,4,1,5,3,5,3,2,3,3,3,5,4,3,4,3,3,3,3,3
267,120秒,1,3,4,3,2,3,3,2,4,2,3,5,3,2,2,1,3,1,3,2,2,2
268,378秒,2,3,3,2,1,5,3,3,3,2,4,4,2,3,4,3,3,3,3,4,3,3
269,141秒,2,3,3,3,1,1,3,5,1,3,5,4,4,2,1,2,1,2,1,2,1,1
270,123秒,1,3,3,2,1,5,3,5,4,3,4,3,4,4,5,5,5,4,4,4,5,3
271,298秒,1,3,3,1,2,4,3,5,4,4,4,3,4,3,3,1,3,2,2,3,3,2
272,358秒,2,3,2,2,2,3,3,3,4,3,4,5,2,4,3,3,3,3,3,3,2,2
273,385秒,2,3,2,3,1,3,2,3,4,4,4,3,5,3,2,2,2,3,2,2,2,3
274,335秒,2,2,2,1,1,4,4,4,3,1,3,2,4,5,3,3,3,2,2,3,2,2
275,212秒,2,3,2,3,1,3,3,5,4,3,3,3,4,4,4,5,4,5,3,4,4,4
276,150秒,2,3,4,2,2,4,3,3,3,3,3,3,5,5,2,2,1,1,2,2,2,2
277,227秒,2,2,1,1,2,3,1,4,3,4,4,3,5,3,3,2,1,3,3,1,2,3
278,166秒,1,2,3,1,2,4,4,2,5,4,3,5,3,5,2,2,1,1,2,1,1,1
279,253秒,1,3,2,1,1,4,3,4,5,2,5,2,3,3,5,3,3,2,3,3,3,3
280,182秒,1,4,4,2,2,2,5,3,3,4,3,4,3,3,3,2,2,2,2,3,1,1
281,253秒,2,3,1,4,1,3,4,2,3,4,3,4,2,5,1,1,1,1,3,1,1,1
282,84秒,2,3,3,1,1,4,5,5,3,1,5,2,3,4,5,4,5,4,4,5,4,5
283,183秒,2,3,4,3,2,3,2,4,3,2,2,3,2,4,4,5,4,4,5,3,4,4
284,69秒,2,3,4,1,2,5,3,5,5,5,2,5,5,4,4,3,3,3,4,3,2,2
285,386秒,1,1,3,3,2,3,4,5,4,2,1,4,4,3,4,4,4,3,4,4,3,3
286,153秒,1,2,3,3,1,3,5,3,2,2,4,3,3,2,1,2,2,1,1,1,1,1
287,123秒,1,3,1,3,1,3,3,4,1,3,2,2,2,2,2,2,1,2,1,2,2,2
288,368秒,2,1,1,1,2,4,4,3,5,2,2,2,3,5,3,2,2,3,2,3,3,3
289,127秒,1,1,3,2,1,4,3,3,2,4,2,4,5,3,2,3,3,1,1,4,3,2
290,188秒,1,4,4,2,1,5,3,4,1,3,3,4,2,3,4,4,3,3,3,2,4,3
291,240秒,2,3,4,2,1,3,2,4,4,3,2,4,2,3,2,2,1,1,2,2,1,1
292,154秒,2,2,3,3,2,2,5,4,3,2,4,3,3,4,3,5,3,2,4,4,4,3
293,308秒,2,1,1,1,1,3,3,4,4,3,5,3,3,5,4,4,4,3,4,4,4,3
294,289秒,2,1,3,1,2,4,3,5,4,2,3,4,4,3,5,4,5,5,5,5,5,5
295,326秒,2,2,1,4,2,4,3,4,2,5,1,3,3,3,1,1,3,1,2,1,2,1
296,289秒,1,4,3,4,2,4,3,5,2,3,4,3,3,2,2,2,2,1,1,1,2,2
297,374秒,1,4,1,4,1,3,4,3,3,5,4,3,4,3,2,3,3,3,2,1,3,2
298,188秒,2,3,4,4,2,3,2,3,2,3,2,4,3,4,1,2,2,2,1,2,1,1
299,332秒,2,2,1,2,1,3,2,4,3,3,4,2,3,3,3,2,1,2,1,1,2,2
300,167秒,2,1,3,2,2,5,2,4,4,2,2,5,3,2,3,4,3,3,3,4,4,4
